palabra	frecPos	frecNeg
beloved	59	46
wastes	7	24
shadix	1	0
suspecting	3	3
charmer	8	3
krause	14	4
ripped	17	56
neck	42	49
lures	5	9
virgins	8	16
hungry	24	29
mama	15	22
krige	9	5
dchen	4	0
amick	8	3
pickens	2	1
deputy	21	13
clovis	3	4
reaped	1	0
retrieve	13	9
amy	22	39
dolenz	1	0
smitten	9	5
bites	11	17
displaying	16	11
ulterior	4	2
scream	53	102
welcomed	12	10
wipes	7	4
swoop	4	5
stabs	8	17
cob	5	0
arm	31	60
protruding	2	0
unconscious	9	14
tosses	6	8
vase	2	1
stabbed	8	29
kebab	1	1
impromptu	5	4
hurled	3	2
picket	3	1
fence	10	12
cats	31	34
invisibility	4	10
clive	15	28
barker	11	17
tobe	5	19
hooper	6	33
forensics	5	2
dante	13	20
landis	3	11
photograph	17	9
experts	11	7
hang	42	48
appropriately	30	17
hammering	4	1
deranged	20	23
complimenting	3	0
incestuous	10	18
angle	75	55
lick	5	11
demented	21	26
maximimum	1	0
overdrive	2	4
cousins	10	15
discrepancy	2	3
preferring	4	2
separate	53	44
babies	24	26
rabbit	34	17
delightfully	26	2
shapeshifter	1	1
cree	1	1
toys	21	49
embroiled	6	3
communists	10	9
momentum	19	15
contribute	15	23
vitality	6	4
samuel	13	13
composition	19	8
pickpocket	17	1
repeat	44	48
offender	7	4
skip	61	117
wallet	11	5
peters	47	6
subway	24	10
kiley	10	0
organisation	2	3
microfilm	15	0
theft	11	7
tail	27	16
zara	4	0
bouchey	1	0
murvyn	3	0
vye	3	0
explains	51	65
ringleader	1	2
stoolie	7	1
moe	29	13
charges	16	13
operate	6	20
flippant	3	3
denies	5	1
orders	37	34
address	21	22
questioned	10	5
searching	53	36
knocks	17	20
recovers	4	10
payment	7	10
recover	11	15
attracted	41	28
evolves	14	3
attentions	11	5
resolving	4	6
inhabit	13	13
dependent	9	4
seek	59	48
cunning	19	7
burial	11	16
exclusive	10	7
cemetery	12	17
merited	2	3
betrays	11	7
whereabouts	9	0
valued	8	3
hooker	16	17
peril	9	18
hardened	15	9
warmer	4	1
mandatory	13	12
homer	69	11
squares	6	6
enhanced	28	11
errol	33	5
flynn	81	14
savoir	1	0
faire	2	1
sprezzatura	1	0
falutin	1	0
albeit	69	36
climber	10	2
nerve	21	19
briskly	5	1
render	6	11
massively	3	6
distribution	20	23
income	11	8
satisfies	3	3
corbett	37	3
beaver	8	11
session	21	14
trent	11	14
ny	15	12
cameraman	11	15
sections	19	7
orkly	1	0
section	55	56
item	25	15
makings	5	5
groovin	1	0
cartoons	53	42
shoes	39	33
spotlight	12	10
avery	5	2
spook	9	3
vacuum	4	4
awakened	7	4
ruckus	2	1
maid	22	27
pause	13	19
longoria	17	19
latina	3	3
juarez	9	3
festivals	22	11
snitch	2	7
boxer	34	16
raoul	16	1
walsh	49	7
alexis	9	4
hale	23	7
sr	13	8
frawley	7	0
egotistical	11	7
boxing	60	18
sponsored	5	3
olympic	10	7
natured	26	11
shanty	2	1
irishman	4	2
resentment	14	2
rises	20	28
deposit	3	3
insure	4	1
purse	18	7
requisite	9	13
ware	4	3
olive	8	4
innovation	8	5
prizefighting	1	0
fleet	18	2
avoids	20	6
opponents	17	9
preview	27	34
fills	23	17
wronged	9	9
ingmar	6	6
subsequently	19	10
indignant	2	1
marilyn	17	18
manson	8	10
boreanaz	4	4
denise	10	19
richards	37	21
katherine	2	17
heigl	2	6
villian	8	1
sob	10	2
hokie	1	0
aftermath	22	7
deceive	6	3
milk	20	24
snake	20	48
bite	25	41
grateful	27	12
oneself	10	3
futility	5	4
aryan	5	2
diligently	2	2
chawla	3	4
santoshi	1	0
novels	57	41
nanak	1	0
singh	2	7
targeted	13	13
mesmerized	11	2
styling	4	2
installment	42	38
gundam	31	2
saga	31	22
satiric	6	1
wrongs	6	3
mellow	3	3
continuing	19	15
incessant	4	16
belly	19	16
ache	5	2
wufei	1	0
whines	2	5
counselor	4	4
exaggerated	31	32
seed	6	71
eeeewwww	1	0
bullet	27	42
dodging	5	5
chasing	41	60
numb	9	7
motivations	23	38
motivated	8	19
repent	3	2
forgive	38	29
mortal	19	12
nominees	5	5
lian	10	0
muscle	9	14
gwizdo	8	0
brains	23	41
hector	15	10
farting	3	8
services	16	11
zoe	15	8
blind	86	87
devoured	5	5
returned	45	37
hires	22	14
eater	6	15
tags	3	4
radar	13	6
contender	6	3
floating	34	26
whitaker	9	5
paulson	5	0
bucsemi	1	0
pixar	42	9
demographic	3	12
canada	42	48
kingdom	37	21
discount	7	17
abundance	17	15
detracting	3	1
imaginations	12	4
inject	5	13
sfx	6	7
raison	3	4
etre	3	4
wardrobe	21	20
accuracy	22	19
sexier	4	6
psychic	13	33
serviceable	8	7
irene	26	9
posterior	2	2
snuggest	1	0
tops	15	17
miscast	15	77
bribe	2	5
glaring	13	21
detract	31	8
wholly	24	23
satisfied	34	28
verbiage	1	1
ensnare	1	1
captive	10	4
quoting	12	8
sinatra	104	12
stallone	38	17
sounded	29	74
puppets	10	23
doug	15	19
naylor	2	0
warrant	7	15
hop	39	24
rendition	33	12
mos	4	0
def	7	2
consciousness	12	17
slams	4	5
snap	15	11
someplace	4	5
wire	21	21
undeniable	14	8
miscalculation	3	0
founddesperate	1	0
medically	2	2
inflation	3	2
woke	12	12
gear	19	24
qualify	9	11
championed	3	0
keen	26	10
pinjar	9	0
lamenting	2	2
biases	2	1
pakistan	6	9
lingered	5	3
prejudices	8	8
pakistanis	3	2
melodious	3	1
gulzar	1	0
sahib	4	0
vinnie	4	17
hardcase	1	0
glorification	3	2
ferrari	6	4
sweeet	1	0
naaaa	1	0
yep	12	33
joking	7	20
premature	3	6
demise	23	33
glossy	16	9
veneer	11	5
inherent	16	14
fortunate	19	10
angelina	15	18
jolie	21	18
botching	1	1
shoveller	5	0
macy	53	8
cruises	2	3
hank	53	10
azaria	19	5
silverware	3	1
newlyweds	2	1
flings	3	1
tableware	1	0
crackpot	2	4
villians	3	2
busy	61	41
snooping	1	6
furious	34	22
tossing	4	6
foe	4	10
dreamed	14	6
flying	115	108
corporate	41	20
logos	1	2
kinnear	34	4
sellout	2	1
endorsements	1	1
frees	3	0
casanova	6	6
frankenstein	24	27
waaaaay	1	3
menace	37	37
goeffrey	1	0
psychofrakulator	1	0
warp	5	6
reflection	38	10
insanities	1	0
recruiting	6	2
commences	1	1
recruitment	4	1
settles	4	4
bowler	3	0
janeane	6	17
garofolo	2	0
mystic	9	8
bowling	13	9
vengeful	11	11
kel	4	0
spleen	4	3
reubens	7	2
mystically	1	0
flatulence	1	4
underused	10	9
sphinx	5	8
wes	37	43
studi	4	0
spouting	6	7
inane	9	56
riddles	2	3
cross	101	95
pigeon	10	3
recycled	13	28
endlessly	14	25
decorated	9	6
reflective	9	1
bes	1	1
superheroes	6	7
idiots	17	54
underwear	14	21
butts	5	9
hurls	3	2
patent	3	1
heroics	7	3
geniuses	9	14
garofalo	6	5
eternally	7	2
mixes	11	9
justified	18	24
served	44	44
reeks	3	13
disguise	12	32
label	15	18
forlani	5	3
directionless	3	2
spite	62	45
pivotal	20	7
conscience	26	18
waits	13	11
inventor	14	2
heller	2	0
nursing	10	3
toting	1	4
lackeys	1	0
choppy	14	37
disjointed	12	43
excusable	2	1
overpowers	2	0
comics	36	40
instructor	10	9
tissues	9	0
blossoms	4	3
prank	7	16
forgiveness	8	16
warranted	5	5
patric	12	1
lasted	25	34
perky	10	8
bonanza	31	7
beleaguered	5	2
studios	68	34
remarry	2	1
firm	32	24
intention	34	49
undermining	4	3
digger	9	5
lucile	5	0
amusement	17	28
gft	4	4
beside	22	26
awesomeness	4	1
overuse	4	10
filters	2	3
sheffer	7	5
brotherconflict	1	0
concieling	1	0
unforssen	1	0
wiking	1	0
travels	38	23
odin	1	1
darius	27	3
athens	8	0
ga	2	10
longtime	11	7
campaign	19	19
duchenne	5	0
muscular	15	9
dystrophy	6	0
funds	6	13
fellas	5	6
dreaded	8	6
tons	43	43
dmd	3	0
collecting	13	7
sweeney	5	3
erick	1	0
stifler	11	10
cooze	1	1
dwight	16	5
pledge	2	4
betas	1	0
tits	6	21
alcohol	24	31
dudes	8	10
assholes	1	2
unrated	11	9
pies	3	3
dipping	8	3
giallo	63	21
vice	40	29
wardh	7	0
sergio	23	9
martino	33	10
twisty	12	1
scorpion	26	3
satanic	11	21
luigi	6	1
pistilli	4	0
anita	19	12
strindberg	9	0
mildly	15	90
edwige	5	0
fenech	6	0
finely	23	0
athenian	1	0
investigator	18	20
farrah	11	19
fawcett	10	16
prettier	6	6
smarter	11	11
grisly	9	14
inheritance	12	8
nifty	22	5
atop	6	10
tiled	1	0
bursts	9	5
thanked	3	1
subtitling	1	3
whotta	1	0
oblivion	7	20
debuted	8	5
preachy	21	20
elevate	8	11
lukas	20	11
earnest	13	18
nazis	38	28
avoiding	14	16
educate	5	5
border	40	34
speeches	20	19
littlest	4	0
scumbag	6	2
romanian	5	19
discernible	2	18
dashiel	1	0
hammett	3	1
hellman	6	0
curio	4	7
listenings	1	1
bolan	4	0
wembley	1	3
interspersed	7	18
surrealistic	4	8
sketches	17	13
nuns	9	14
gorging	1	0
claydon	1	0
diminutive	8	2
photographer	36	40
chauffeur	3	7
jumps	36	55
disclaimer	6	7
evades	1	2
ringo	13	3
paste	4	13
boogie	17	13
menu	12	13
select	9	2
goto	3	2
cursor	3	0
logo	9	10
tampered	1	0
stanwyck	80	18
nietzsche	7	4
philosophies	9	2
materialistic	6	1
blatant	17	52
explicitly	12	6
enjoyment	44	45
craft	31	29
perfected	13	4
uncharacteristic	2	3
doe	6	9
nopd	1	0
heat	45	32
freely	7	8
archive	11	7
downloading	2	4
mobile	15	21
rigs	2	1
noise	16	69
horns	9	6
saggy	3	1
recasting	1	3
psychopath	17	18
alternately	13	8
comforts	11	2
pitches	4	1
righteous	14	8
supernaturals	1	0
mysticism	10	5
topical	5	6
oddball	11	8
peppering	2	1
midget	2	26
newspaper	42	35
seller	12	5
writings	8	5
evans	24	1
patron	8	5
billionaire	7	5
humphrey	10	5
gable	32	6
gain	53	37
mock	11	21
docudrama	3	5
bernie	4	10
madhoff	1	0
billion	8	15
contract	54	28
tourneur	9	3
cameramen	3	3
isolated	34	34
stake	20	14
sunbacked	1	0
silhouettes	5	1
wavering	3	1
thoughtfulness	4	0
bullwhip	1	2
lashing	2	0
wayward	9	9
seated	10	4
scepter	2	0
leatrice	2	0
joy	128	46
renny	7	5
harlin	11	8
commendable	16	13
rendered	33	20
audaciously	2	0
versatile	14	9
aura	16	7
rocky	24	25
balbao	1	0
cliffhanger	25	9
fetched	38	33
introduces	37	26
intrigue	39	23
engulf	5	1
perilous	5	4
outlaws	13	2
altitude	5	2
biting	16	17
capped	2	4
alps	2	2
unfolding	20	11
deceit	13	3
antagonist	12	21
shiver	5	3
trepidation	5	1
kicks	40	35
parlance	1	0
endows	2	0
brazen	3	2
excitement	63	72
regarded	28	20
morbid	19	20
catholic	39	51
gerard	38	9
reve	10	0
krabb	6	5
lecture	9	13
vlissingen	1	0
railway	7	4
amsterdam	8	0
corresponded	1	0
embarks	14	4
treasurer	3	0
beautician	1	1
christine	30	14
halsslag	1	0
ren	8	5
soutendijk	7	0
wealthy	51	35
owns	24	11
herman	19	14
thom	2	4
recognizes	7	4
seducing	7	11
ln	1	0
drinks	10	17
whiskey	3	8
snoops	1	1
footages	1	2
phase	20	12
inconclusive	3	3
sensationalism	5	6
androgynous	2	1
homem	1	1
yay	3	10
layered	17	5
unfriendly	4	4
anally	1	0
retentively	1	0
pithy	3	1
submissions	1	0
editors	7	9
ethics	7	9
grieving	10	7
twin	37	37
reckon	9	10
mamet	17	9
evenly	1	1
mantegna	12	4
crouse	22	2
goldstein	1	0
wallace	28	25
ricky	28	10
potok	1	0
soule	1	0
proceeds	26	22
logically	3	9
bang	33	37
descendent	1	2
confederate	9	12
database	2	4
reincarnation	3	10
melnick	1	0
paradigm	6	2
boston	29	15
tarantino	18	31
products	19	11
lingers	8	8
reiser	27	8
kleinman	5	0
whats	15	37
soever	1	0
tapes	18	24
blu	8	4
remade	22	18
diver	17	4
defied	3	4
aggravated	5	3
hurricane	9	5
motivation	16	50
stubbornness	3	1
salvage	4	22
dimensional	62	98
cmdr	1	1
colonel	29	18
holbrook	4	1
substantial	17	18
tower	28	17
chronicling	2	1
nunsploitation	7	1
italy	63	24
martyrdom	3	0
otranto	2	0
hoards	2	1
flavia	36	0
florinda	8	1
bolkan	6	2
convent	20	18
gelding	1	0
stallion	7	3
nun	18	19
tarantula	1	1
sect	3	3
whipping	4	9
gruesome	53	40
poured	7	4
nipples	6	6
dominated	21	15
jesus	41	134
heretic	6	1
predates	3	1
hostel	6	28
digest	10	11
sumptuous	12	2
baudelaire	1	0
von	70	22
arnim	1	0
enachanted	1	0
enchanted	24	4
peaceful	29	10
springtime	2	3
cherish	13	7
unflattering	4	5
misery	24	33
pity	65	61
vaugely	1	0
rediscovered	7	0
comprehend	17	15
articles	6	7
rambling	10	26
shin	33	4
ae	32	0
milyang	10	0
seoul	6	0
jun	4	0
accidental	16	12
settlement	5	0
admirably	18	5
caveat	2	1
stated	40	41
korea	17	11
korean	37	41
goings	15	10
rewarded	20	9
pimped	3	0
speakeasy	13	1
waitressing	1	0
explosion	37	39
sluts	2	4
branches	6	2
bank	71	88
gotham	4	1
possessive	2	6
courtland	3	1
trenholm	7	0
forking	1	1
dough	6	7
madly	16	8
pedestal	5	2
prestige	1	6
ensue	14	7
indicted	3	1
possession	18	14
taboo	17	16
mannerisms	29	12
explicit	45	16
miraculous	9	4
metamorphosis	3	14
cities	36	22
taime	1	1
joel	36	24
ethan	31	16
coen	18	2
fatih	1	0
akin	13	20
mira	5	17
nair	6	0
portman	12	6
shakher	1	0
kapur	6	2
yorkers	6	2
shia	11	3
labeouf	10	3
christina	18	12
ricci	7	3
hawki	1	0
seasoned	21	14
veterans	20	13
caan	5	2
cloris	6	7
leachman	10	6
eli	8	14
wallach	7	9
depend	17	12
shanghai	45	7
greece	6	4
yiddish	2	6
mpaa	11	14
oppinion	1	0
tacoma	1	1
dome	6	11
jude	10	18
edison	18	17
chen	8	17
bred	5	6
dumps	10	7
gladiatorial	1	0
honed	7	3
battery	2	7
mantra	3	6
thai	9	8
leash	2	2
bare	29	42
knuckle	8	2
fisticuffs	4	0
grit	10	5
throats	7	18
defending	18	7
figuratively	5	3
awry	10	15
cheung	22	3
ti	3	1
acceptance	27	13
sins	7	19
shades	26	18
seedier	5	0
studies	17	23
pei	6	0
tenderness	14	2
willing	108	83
strategies	6	0
switch	24	39
depending	18	22
transforming	4	8
grips	11	6
seat	92	61
dreaming	12	11
growls	3	4
dogs	54	60
columbos	1	0
dish	12	11
adopting	4	1
finger	28	40
chaplin	43	57
belive	2	2
automatically	18	36
tupac	1	2
modeled	8	4
quartermain	3	0
plundering	2	0
ij	3	0
jumbled	4	12
hodge	4	9
podge	2	7
cheaply	14	26
imitated	5	2
labeled	16	13
unintentional	10	62
witless	2	23
predecessors	7	15
corrects	1	0
forgetting	15	21
materials	15	6
aq	2	0
complementing	1	0
extravaganza	5	5
ksm	1	0
vistas	10	2
sa	2	2
wildlife	10	6
boyum	1	0
disliked	14	34
fluke	4	11
reaping	2	0
profits	10	8
struggled	9	6
haines	32	3
obnoxious	19	80
overconfident	3	0
redeems	10	7
polo	3	0
exhibit	9	11
illustrating	2	3
peggy	16	14
pepper	16	9
marmaduke	1	0
oldfish	1	0
commissary	3	0
peppers	1	0
perseveres	3	0
intervenes	6	3
circa	14	13
charlie	186	89
autograph	7	0
vidor	7	3
arriving	16	13
grimaces	2	6
mentions	20	35
tcm	21	13
scandal	14	9
chopped	6	21
unintelligible	3	5
sensational	21	6
lyrical	14	4
recording	24	27
hypoth	2	0
tableau	3	1
vol	9	2
hypothesis	3	3
courtyard	5	3
collector	22	14
obscure	41	46
impressionist	8	0
tonnerre	1	0
recites	2	2
epigrams	2	0
engages	6	10
limitless	3	0
trees	25	41
tableaux	2	2
meanings	9	7
labyrinth	13	3
engage	25	38
monologues	9	17
staying	34	36
indescribable	6	1
sly	17	8
indicator	5	6
inexplicable	8	31
poses	18	15
sexless	2	1
plastic	17	74
figurines	3	0
photos	31	21
mirror	51	62
partially	22	13
size	28	44
faceless	4	9
contemporaneous	2	1
greenaway	2	16
enthralled	15	4
bikes	2	5
welsh	3	5
countryside	38	29
arrowhead	1	0
trike	1	0
ivay	1	0
wareham	1	0
dorset	1	0
biker	16	18
celebertis	1	0
musicals	63	22
choreographers	1	1
wodehouse	25	2
astaire	52	12
delighted	24	13
vaudeville	22	7
banter	22	13
caricatures	11	31
fairground	2	0
floors	6	12
funhouse	6	1
busby	19	3
berkley	7	1
ginger	46	19
blore	4	0
dynamics	26	6
emerge	18	22
wodehouses	1	0
females	17	27
sniper	18	18
movive	1	0
snipers	7	6
tomas	1	7
beccket	4	0
confirmed	12	12
softness	2	1
partners	29	16
millar	6	0
comer	6	1
qualified	3	12
zane	19	19
hesitation	11	6
actuall	1	0
quarreled	3	0
communication	20	12
souls	35	38
serbian	8	15
neofolk	1	0
poetics	1	0
sucked	32	122
kusturica	17	11
truman	29	4
chillingly	6	2
elmer	17	8
gantry	6	1
tin	14	9
blackboard	1	8
jungle	48	59
blake	44	16
bethsheba	1	0
gregory	25	32
peck	22	21
hayward	10	10
reluctance	5	3
obedience	3	1
nigh	5	7
uriah	8	1
authoritative	1	4
condemnation	1	4
specials	9	3
barbra	19	23
streisand	66	59
november	10	6
separately	8	5
fork	5	9
brilliantly	120	22
component	6	3
signed	24	24
cbs	23	15
extinct	9	2
notoriety	4	10
handful	30	36
selling	41	37
albums	13	2
distinct	30	28
transitional	1	0
wonderland	23	8
istanbul	5	0
bergdorf	3	0
goodman	20	10
elegantly	7	3
costumed	3	8
depression	55	24
nuthin	1	1
basics	15	4
opens	86	71
torchy	4	0
medley	10	1
melancholic	8	0
pricey	2	0
fundraising	1	0
luster	3	4
marines	15	12
schmid	15	1
tenaru	1	0
guadalcanal	9	0
butterfield	2	0
varying	13	13
constrains	1	0
devoid	18	50
falseness	2	1
sufficient	10	13
glorifying	3	3
enlist	5	7
experimental	28	27
garfield	22	5
temperament	6	2
equation	6	1
unattractive	13	31
cracked	7	8
whooo	2	0
specialist	7	5
anthologies	5	0
omnibus	5	0
dripped	16	3
doubtlessly	3	0
tales	58	35
imaginable	15	30
heirs	3	2
hyller	1	0
kickoff	2	0
entirelly	1	0
phillip	33	8
grayson	29	1
norton	9	20
instruct	2	3
appalled	8	19
strictness	1	0
overprotective	4	1
henderson	17	3
carla	55	4
allusions	7	13
indirectly	7	8
refers	21	18
macabrely	1	0
igenious	1	0
eerieness	1	0
decidedly	12	14
duchovny	20	4
companions	11	4
mallet	1	5
quitting	2	1
intends	13	6
sleeping	45	61
causes	51	55
jabs	3	3
trintignant	1	0
yuzna	22	1
frowned	3	0
fests	5	1
animator	9	8
surrealist	5	0
thrilling	66	42
dentistry	5	1
dentist	89	23
primal	7	9
frighten	4	6
minority	21	28
perfectionist	4	0
feinstone	25	1
patients	28	32
brunt	2	3
extracting	1	3
quota	3	4
scares	46	73
summed	9	18
squeamish	12	10
outline	14	23
substance	47	91
corbin	23	2
bernsen	34	2
foree	7	1
vigilante	16	15
locke	17	11
complaining	32	25
reminder	22	19
occupation	8	9
owe	16	10
cycle	17	15
divisions	3	1
failings	9	6
unite	6	5
seeks	35	21
summarized	7	10
whew	2	8
coke	17	19
fuelled	2	3
drumming	8	6
acclaim	12	10
frenzied	6	5
trivia	21	20
surmising	1	0
drummer	20	8
krupa	4	0
spazzy	1	0
phantom	25	30
caldwell	2	1
demonicus	3	11
ofcourse	1	0
brannagh	3	0
dedication	17	7
applauded	11	7
analyze	11	6
criticized	17	7
confusion	46	46
flashbacks	71	80
ambiguities	5	0
ophelia	6	5
fortinbras	1	1
ph	2	2
atlantis	39	40
rubble	11	2
pokemon	43	24
tellings	3	0
toy	56	55
nemo	6	3
profitability	1	0
mulan	1	1
lilo	2	2
stitch	2	5
milo	16	38
thatch	1	3
voiced	28	22
archaeologist	6	12
peers	17	11
footsteps	12	10
failing	30	43
sponsor	3	5
expedition	33	15
darkened	9	5
whitmore	4	0
grandfathers	2	0
animators	13	9
generated	25	30
lulls	5	1
sources	12	26
explained	52	129
voyage	20	8
nautilus	1	0
pods	3	5
torpedoes	1	0
diggers	3	1
boilers	1	0
empowered	2	1
leadership	12	8
upbeat	21	7
dwarfs	5	5
millionth	1	1
spares	2	3
griffiths	8	4
writes	27	30
coping	15	4
cherishing	2	0
tingwell	4	0
cope	31	13
cow	7	26
tulip	13	0
brigham	8	1
plains	8	1
persecutions	1	0
mormon	7	25
inaccuracies	12	22
deceived	4	5
successor	9	6
bulk	15	20
firmly	23	16
saints	14	8
confidently	4	2
mormons	11	13
hinges	4	5
prophets	1	2
fanfan	6	0
tulipe	4	0
philippe	11	3
craze	6	8
throve	1	0
gina	29	20
lollobrigida	6	0
clair	9	1
belles	4	1
nuit	5	2
jeanson	3	0
voltaire	1	0
candide	1	0
antimilitarism	1	0
fore	6	4
draftees	2	1
radiate	1	0
joie	4	1
vivre	3	1
mourir	1	0
casualties	7	1
outnumber	2	0
survivors	33	33
xv	1	0
complains	15	6
historian	11	10
jaque	3	0
tempo	8	2
perez	1	9
adapted	62	30
spaghetti	10	27
lawless	5	5
kingpin	2	2
leone	7	7
ennio	4	4
morricone	6	5
saki	1	5
ryoko	4	1
yonekura	2	1
harley	1	1
actioner	5	9
gunplay	4	2
hokey	18	22
handles	25	14
otsu	1	0
nhk	2	0
musashi	1	0
adoringly	2	0
inexplicably	10	44
nikita	3	0
goodnight	7	7
gobs	2	5
icing	5	7
advances	15	10
niven	23	11
kim	82	53
livesey	6	0
idyllic	8	4
diversion	10	6
heartthrob	2	3
halliday	2	1
unwittingly	8	8
prospects	7	1
heiress	9	7
marshmorton	2	1
betting	4	6
rigged	5	2
keggs	5	2
gardiner	11	1
reggie	2	9
domineering	5	3
collier	5	0
devices	26	26
interlude	5	3
dignified	8	1
ditzy	4	6
footman	1	0
damsel	18	8
solo	40	15
hoofer	3	0
gracie	9	7
bubbly	7	3
conniving	12	18
snob	5	9
madrigal	1	0
spirited	49	30
mixing	24	16
gershwin	22	6
madrigals	1	0
bartholomew	1	1
rosy	10	3
cheeks	2	4
erin	1	7
cottrell	1	0
lately	27	28
morals	23	7
indistinguishable	2	9
hypnotic	16	9
charlotte	36	30
rainy	18	14
ritchie	20	19
devils	10	5
advocate	8	6
stathom	1	0
jake	74	21
mysteries	51	12
deciding	21	15
puzzle	23	11
solved	11	16
institute	7	6
infused	7	5
sin	43	39
dystopian	9	0
linklater	8	0
scanner	6	0
amalgamation	4	1
visionary	13	3
volckman	6	0
unquestionably	7	2
hybridity	1	0
context	56	91
individuality	6	2
laudable	1	0
interspersing	2	0
nihilism	3	1
terror	65	62
aesthetic	16	9
credence	3	4
gruff	15	9
stoic	16	3
karas	5	0
mccormack	3	1
romola	3	0
garai	2	0
frantic	18	11
pryce	3	0
shady	22	8
ominous	17	20
mega	13	18
corporation	24	13
avalon	6	1
holm	10	3
reedy	1	1
inhibit	1	1
qualms	8	2
capably	8	3
boob	10	8
pun	19	25
pres	1	1
jodi	4	1
fanatical	7	6
suffice	25	20
alot	16	14
leasurely	1	0
stroking	1	0
relay	1	2
cassandras	1	0
contless	1	0
videostore	3	2
mail	31	34
chastedy	1	0
collections	3	5
initiative	6	2
selecting	2	4
boris	22	25
karloff	67	42
unessential	1	0
overshadows	4	3
chapters	15	9
janos	9	0
rukh	46	1
carpathian	1	0
drawings	11	11
discussed	22	9
benet	18	0
extraterrestrial	1	2
rays	5	0
invite	18	10
isolates	2	0
radium	11	0
overexposed	3	1
gimmicks	5	11
melting	26	38
statues	5	6
eliminate	10	8
lambert	10	7
hillyer	11	0
funky	14	7
timely	14	2
venezuelan	9	6
capital	29	19
caracas	4	1
prevail	3	5
hemisphere	2	0
chapter	30	17
chronicles	27	13
poorest	2	9
unity	11	3
savvy	8	7
insights	17	14
invaluable	6	1
deception	15	10
grappling	3	1
impending	13	14
tyranny	10	2
abruptly	12	23
cia	43	27
plutocrats	1	0
generals	5	8
conspired	2	0
venezuela	22	1
ably	13	4
chavez	57	1
renegade	6	10
response	41	31
highpoint	4	2
taiwanese	3	9
sensibility	19	8
woodrell	1	0
guerrillas	4	1
bushwhackers	6	6
equivalents	1	0
backwater	1	1
missouri	11	7
visceral	15	6
fought	28	18
roedel	4	4
tobey	6	1
maguire	18	3
seventeen	4	8
reaches	32	26
countrymen	3	3
unionist	1	1
lifelong	11	5
chiles	3	5
skeet	6	2
ulrich	9	6
unwillingness	7	3
participate	15	13
unarmed	3	3
holt	29	3
jeffrey	29	30
wright	21	13
bushwhacker	1	1
introspection	5	4
interposed	1	1
flashes	12	22
intensely	21	9
unglamorised	1	0
candid	12	0
recognising	5	0
courageous	10	8
blooded	23	18
suave	16	9
flinches	1	1
growth	23	12
demonstration	11	9
wider	21	9
emancipation	2	0
regularly	15	15
shocks	17	10
banned	21	40
territories	5	4
apparatus	3	3
flack	4	1
haze	7	2
yule	1	0
tide	18	3
paying	38	63
simulate	3	6
latham	4	6
affleck	15	25
reluctantly	11	12
comply	2	1
americas	5	1
unanswered	13	14
buried	25	50
thousand	39	46
frozen	10	15
graveyard	17	19
ryker	8	0
marvin	16	5
selected	15	16
defect	5	1
koreans	2	4
nations	29	13
capt	5	7
dillman	3	0
gen	10	4
amos	13	4
baily	2	0
courtroom	25	8
graves	10	12
winkler	8	0
convicting	1	0
cons	25	14
grifters	10	1
psychoanalysis	1	0
crackerjack	2	0
ding	4	4
loosened	1	0
rhythmic	4	2
jazzy	8	2
glengarry	3	1
glen	10	6
flowed	5	3
jumble	1	5
chunk	7	9
compulsive	16	2
gambler	12	5
gambling	33	18
dingy	4	1
improbable	14	16
cheque	1	1
answered	13	18
learner	2	0
bouncing	9	12
walked	33	83
stagy	5	7
foley	12	8
anchors	18	1
aweigh	17	0
interweaves	2	0
classical	32	22
tchaikovsky	4	2
bowl	16	20
emerging	8	10
pianists	5	1
enthusiasts	7	9
mountains	42	30
pollution	9	7
girly	4	3
bickers	2	0
howled	1	0
hyena	3	0
obsessiveness	4	0
olsen	10	11
hilary	8	8
duff	10	4
cutest	9	2
nuts	24	31
sceneries	5	2
audition	14	14
zach	3	7
atenborough	3	0
competition	43	34
shortens	1	1
ronnie	7	8
zooming	2	3
eliminating	5	4
contestants	24	14
hamlisch	1	2
kleban	1	0
choreographies	1	0
arnold	44	47
schulman	1	0
cassie	3	26
alyson	1	4
rewording	1	0
toast	5	5
raiment	1	0
pillow	7	5
modifications	2	1
concocted	4	3
explores	35	7
fragmented	7	10
unthinkable	6	4
gradual	7	2
implosion	1	0
repeatedly	28	42
differing	4	0
vantages	1	0
incidents	16	13
robbery	27	34
hanson	17	4
needy	2	5
marisa	20	4
tomei	24	3
hawke	38	6
shrewish	2	2
alimony	5	1
mall	10	43
jewelry	13	7
promises	29	21
glitch	4	2
finney	24	7
nanette	8	6
wrangles	1	0
agreement	9	5
getaway	6	9
filing	5	3
shoots	35	49
robber	8	14
unveils	2	2
respective	31	19
disastrous	18	22
acrid	2	0
unforgettably	4	0
bravura	10	3
braun	12	1
credibly	5	2
obtuse	4	2
implausibility	2	7
opportunism	2	0
vicey	1	0
afterwards	38	45
inadequate	3	8
convenience	6	10
exercise	25	53
confound	2	0
aimless	3	9
drifts	8	3
bracco	5	1
drift	19	10
esteemed	5	3
cowgirls	6	5
ranch	25	11
smell	15	14
unwashed	2	5
ahem	1	13
bottoms	2	5
chortles	1	0
acheived	1	0
fantastically	19	5
vases	1	0
goro	4	0
smap	2	0
kitagawa	1	0
birdie	8	0
reputed	4	1
lingering	12	15
